dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,quasi_optimal,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
80,Boscia,5,0,0.0,3600.0,0.0,0.061652,0,5,0.0,0.0,0.0,0.0
100,Boscia,5,0,0.0,3600.164,0.328,0.030951,0,4,0.0,0.0,0.0,0.0
150,Boscia,5,0,0.0,3600.7396,0.1163,0.483614,0,0,0.0,0.0,0.0,0.0
200,Boscia,5,0,0.0,3600.5026,0.0759,0.452891,0,0,0.0,0.0,0.0,0.0
80,SCIPSDP_oa,5,1,20.0,2941.0064,939.8822,0.093351,0,0,0.0,111677.0,440928.0,0.0
100,SCIPSDP_oa,5,1,20.0,739.6564,2581.3061,0.099951,0,0,0.0,202.0,610.0,0.0
150,SCIPSDP_oa,5,0,0.0,3600.6707,1.0173,0.156286,0,0,0.0,0.0,0.0,0.0
200,SCIPSDP_oa,5,0,0.0,3600.216,0.257,0.165284,0,0,0.0,0.0,0.0,0.0
80,SCIPSDP_bnb,5,4,80.0,376.1659,1797.9255,0.020804,0,0,0.0,46591.25,0.0,1.228053e6
100,SCIPSDP_bnb,5,4,80.0,421.1426,1849.0759,0.060585,0,0,0.0,35478.0,0.0,1.04460825e6
150,SCIPSDP_bnb,5,1,20.0,3052.5714,821.3363,0.082437,0,0,0.0,33523.0,0.0,954987.0
200,SCIPSDP_bnb,5,0,0.0,3600.0293,0.0521,0.077731,0,0,0.0,0.0,0.0,0.0
-1,Boscia,20,0,0.0,3600.3515,0.3388,0.142981,0,9,0.0,0.0,0.0,0.0
-1,SCIPSDP_oa,20,2,10.0,2304.4086,1352.1215,0.128174,0,0,0.0,55939.5,220769.0,0.0
-1,SCIPSDP_bnb,20,9,45.0,1148.6696,1980.1388,0.068865,0,0,0.0,40200.0,0.0,1.11618133e6
