seed,numberOfExperiments,numberOfParameters,time,N,solution,scaled_solution,termination,numberIterations,numberCuts,feasible
1,100,10,103.60337400436401,22.0,-3.151857632406724e-9,Inf,OPTIMAL,113,2,false
5,100,10,395.47013998031616,10.0,0.3571155606791728,-0.3571155578249078,OPTIMAL,135,7,true
3,100,10,3600.0116629600525,12.0,-Inf,Inf,TIME_LIMIT,108,1,false
4,100,10,3600.0487129688263,19.0,-Inf,Inf,TIME_LIMIT,109,1,false
2,100,10,110.04396510124207,32.0,-1.8266165333342692e-9,Inf,OPTIMAL,114,2,false
1,100,10,3600.042282104492,22.0,-Inf,Inf,TIME_LIMIT,107,1,false
3,100,10,863.1995520591736,12.0,0.30043711740173273,-0.30043711446736104,OPTIMAL,114,2,true
2,100,10,3600.0436770915985,32.0,-Inf,Inf,TIME_LIMIT,107,1,false
4,100,10,3600.0354561805725,19.0,0.322036405905978,-0.322036404124204,TIME_LIMIT,113,2,true
5,100,10,766.3871340751648,10.0,0.3571155606791728,-0.3571155578249078,INFEASIBLE,114,2,true
1,120,10,3600.0527079105377,27.0,0.5715785380386561,-0.5715785353888504,TIME_LIMIT,115,2,true
5,120,10,3600.0283830165863,12.0,-Inf,Inf,TIME_LIMIT,108,1,false
3,120,10,3600.0406379699707,15.0,-Inf,Inf,TIME_LIMIT,109,1,false
2,120,10,3600.0224039554596,38.0,0.29880347726605677,-0.2988034745741417,TIME_LIMIT,115,2,true
4,120,10,3600.0417160987854,23.0,-Inf,Inf,TIME_LIMIT,108,1,false
1,120,10,3600.038066148758,27.0,-Inf,Inf,TIME_LIMIT,108,1,false
3,120,10,133.6125841140747,15.0,-4.341612176817747e-9,Inf,OPTIMAL,116,2,false
2,120,10,3600.0515401363373,38.0,-Inf,Inf,TIME_LIMIT,108,1,false
4,120,10,3601.8811309337616,23.0,-Inf,Inf,TIME_LIMIT,109,1,false
5,120,10,157.20121693611145,12.0,-Inf,Inf,INFEASIBLE,109,1,false
1,150,12,3603.0428500175476,33.0,-Inf,Inf,TIME_LIMIT,152,1,false
3,150,12,3600.0125319957733,18.0,-Inf,Inf,TIME_LIMIT,153,1,false
2,150,12,192.53887009620667,47.0,-4.318704983253267e-9,Inf,OPTIMAL,161,2,false
3,150,12,3602.5670619010925,18.0,-Inf,Inf,TIME_LIMIT,154,1,false
1,150,12,3600.0209698677063,33.0,-Inf,Inf,TIME_LIMIT,153,1,false
4,150,12,3602.856113910675,29.0,-Inf,Inf,TIME_LIMIT,153,1,false
2,150,12,3600.008901119232,47.0,-Inf,Inf,TIME_LIMIT,153,1,false
5,150,12,3602.1817178726196,14.0,-Inf,Inf,TIME_LIMIT,152,1,false
1,50,7,61.82553005218506,2.0,0.27009883713302724,-0.27009883408771745,OPTIMAL,60,2,true
3,50,7,55.06015706062317,10.0,0.6381663716191891,-0.6381663690273568,OPTIMAL,85,6,true
5,50,7,57.30754613876343,12.0,1.2655362105463475,Inf,OPTIMAL,73,4,false
2,50,7,35.87290096282959,14.0,1.5154158732885643,Inf,OPTIMAL,78,4,false
4,50,7,55.5360209941864,14.0,0.9770832677352081,Inf,OPTIMAL,73,4,false
1,50,7,67.44017100334167,2.0,1.0701357522962298,Inf,OPTIMAL,70,4,false
2,50,7,51.09055685997009,14.0,0.19471702580912634,-0.19471702375570743,OPTIMAL,60,2,true
3,50,7,52.17989802360535,10.0,0.20342879567779898,-0.2034287926837781,OPTIMAL,61,2,true
4,50,7,44.29716110229492,14.0,0.007202136013469885,-0.007202133552852041,INFEASIBLE,65,3,true
5,50,7,34.64613914489746,12.0,-Inf,Inf,INFEASIBLE,55,1,false
1,80,8,92.30326008796692,17.0,0.26701777533315013,-0.2670177743004208,OPTIMAL,74,2,true
3,80,8,147.21893095970154,10.0,1.4696507471639946,Inf,OPTIMAL,77,2,false
4,80,8,133.30822706222534,15.0,1.087655051573193,Inf,OPTIMAL,90,4,false
1,80,8,153.3516309261322,17.0,2.058137656092959,Inf,OPTIMAL,95,4,false
2,80,8,111.61297488212585,25.0,0.1767044437739896,-0.17670444153372866,OPTIMAL,77,2,true
2,80,8,221.8505618572235,25.0,1.2246227642090584,-1.2246227591450924,OPTIMAL,84,3,true
3,80,8,69.26769399642944,10.0,0.03958902214274605,-0.039589019937980904,OPTIMAL,90,3,true
4,80,8,91.93670105934143,15.0,0.5833963681811944,-0.5833963666060542,OPTIMAL,77,2,true
5,80,8,164.98163199424744,8.0,0.5334669084580512,-0.5334669067238059,OPTIMAL,84,2,true
5,80,8,220.422523021698,8.0,1.757404371209281,-1.7574043629125662,OPTIMAL,91,4,true
