seed,numberOfExperiments,numberOfParameters,time,N,solution,scaled_solution,termination,numberIterations,numberCuts,feasible
1,45,10,37.98952507972717,9,22.166578018612256,-0.07415211534978036,OPTIMAL,317,21,true
2,45,10,297.5167679786682,9,16.529533873159636,-0.05509574998285801,OPTIMAL,549,45,true
3,45,10,382.58171486854553,9,15.459259362230227,-0.0714419507345718,OPTIMAL,711,61,true
1,66,12,86.2436580657959,11,7.142483748659032,-0.1448269983003759,OPTIMAL,210,6,true
2,66,12,597.2684950828552,11,25.067900280850722,-0.675163273262779,OPTIMAL,570,37,true
3,66,12,222.96760296821594,11,10.607033957778668,-0.21591696474850322,OPTIMAL,309,14,true
1,105,15,1102.1035301685333,14,11.334580609925524,-0.1390997516271039,OPTIMAL,354,9,true
2,105,15,3600.006940126419,14,12.441621375549005,-0.1289428809934301,TIME_LIMIT,414,13,true
3,105,15,1157.3233449459076,14,12.28353219969722,-0.2071326427307676,OPTIMAL,593,24,true
1,300,25,3600.300449848175,24,-Inf,Inf,TIME_LIMIT,638,1,false
2,300,25,3600.9633021354675,24,-Inf,Inf,TIME_LIMIT,638,1,false
3,300,25,3600.7267808914185,24,-Inf,Inf,TIME_LIMIT,637,1,false
1,780,40,3600.3163800239563,39,-Inf,Inf,TIME_LIMIT,1614,1,false
2,780,40,3601.293002843857,39,-Inf,Inf,TIME_LIMIT,1612,1,false
3,780,40,3601.9419560432434,39,-Inf,Inf,TIME_LIMIT,1614,1,false
1,1770,60,3602.302591085434,59,-Inf,Inf,TIME_LIMIT,3618,1,false
2,1770,60,3601.648968935013,59,-Inf,Inf,TIME_LIMIT,3617,1,false
3,1770,60,3607.076591014862,59,-Inf,Inf,TIME_LIMIT,3619,1,false
1,4950,100,446.9431200027466,99,-Inf,Inf,INFEASIBLE,0,0,false
2,4950,100,3600.0,99,Inf,Inf,ERROR,0,0,false
3,4950,100,3600.0,99,Inf,Inf,ERROR,0,0,false
